環境問題

2

原油流出による/環境緊急事態/を宣言した
/環境省/は専門家を派遣した
/JICA/を通じて油吸着材を支援しました
モーリシャスは生物多様性の/ホットスポット/です
汚染は/ラムサール条約/に指定された地域も含まれる
/ブルーエコノミー/が収入源の国への影響は大きい
アマゾンの森林火災の原因は/焼き畑/や森林伐採です
グレタさんが北欧理事会の/環境賞/受賞を拒否した
/国連気候行動サミット/に参加のためヨットで移動した
南極のトビムシから/マイクロプラスチック/を発見した

環境緊急事態 かんきょうきんきゅうじたい kankyoukinkyuuzitai
ラムサール条約 らむさーるじょうやく ramusa-rujouyaku
非常事態宣言 ひじょうじたいせんげん hijouzitaisengenn

環境省 かんきょうしょう kankyousyou
防衛庁 ぼうえいちょう boueityou
内閣 ないかく naikaku

JICA JICA JICA
WHO WHO WHO
世界保健機関 せかいほけんきかん sekaihokenkikann

ホットスポット ほっとすぽっと hottosupotto
クールスポット くーるすぽっと ku-rusupotto
スポット すぽっと supotto

ラムサール条約 らむさーるじょうやく ramusa-rujouyaku
パリ協定 ぱりきょうてい parikyoutei
メルセン条約 めるせんじょうやく merusenjouyaku

ブルーエコノミー ぶるーえこのみー buru-ekonomi-
ニューエコノミー にゅーえこのみー nyu-ekonomi-
レッドエコノミー れっどえこのみー reddoekonomi-

焼き畑 やきはた yakihata
自然農法 しぜんのうほう sizennnouhou
循環型農業 じゅんかんがたのうぎょう junkangatanougyou

環境賞 かんきょうしょう kankyousyou
生物賞 せいぶつしょう seibutusyou
物理賞 ぶつりしょう buturisyou

国連気候行動サミット こくれんきこうこうどうさみっと kokurenkikoukoudousamitto
G20 G20 G20
ASEAN ASEAN ASEAN

マイクロプラスチック まいくろぷらすちっく maikuropurasutikku
熱可塑性プラスチック ねつかそせいぷらすちっく netukasoseipurasutikku
レジ袋 れじぶくろ rezibukuro
