豪雨・台風問題

3

複数箇所で河川の/氾濫/が発生し、避難を強いられました
豪雨の影響で88棟の住宅に/浸水/被害がありました
記録的な/ゲリラ豪雨/によって最上川が氾濫しました
発生した台風が/温帯低気圧/に変わりました
停滞する/梅雨前線/の影響によって豪雨が発生しました
浸水被害があるため/避難情報/を確認して行動してください
豪雨の影響で/土砂崩れ/が相次ぎ一部集落が孤立しています
国土交通省では適切な/防災行動/をとるよう呼び掛けています
避難/指示/が発表されており極めて危険な状況です
台風によって四国地方を中心に/高潮警報/が発表されました

氾濫 はんらん hanrann
激流 げきりゅう gekiryuu
冠水 かんすい kansui

浸水 しんすい sinsui
陥没 かんぼつ kanbotu
洪水 こうずい kouzui

ゲリラ豪雨 げりらごうう geriragouu
暴風 ぼうふう bouhuu
落雷 らくらい rakurai

温帯低気圧 おんたいていきあつ ontaiteikiatu
熱帯低気圧 ねったいていきあつ nettaiteikiatu
亜熱帯低気圧 あねったいていきあつ anettaiteikiatu

梅雨前線 ばいうぜんせん baiuzensenn
温暖前線 おんだんぜんせん ondanzensenn
積乱雲 せきらうん sekiraunn

避難情報 ひなんじょうほう hinanjyouhou
早期注意報 そうきちゅういほう soukityuuihou
大雨特別警報 おおあめとくべつけいほう ooametokubetukeihou

土砂崩れ どしゃくずれ dosyakuzure
停電 ていでん teiden
液状化 えきじょうか ekijyouka

防災行動 ぼうさいこうどう bousaikoudou
避難指示 ひなんしじ hinansiji
予防準備 よぼうじゅんび yoboujyunbi

指示 しじ siji
準備 じゅんび jyunbi
命令 めいれい meirei

高潮警報 たかしおけいほう takasiokeihou
土石流警報 どせきりゅうけいほう dosekiryuukeihou
緊急事態宣言 きんきゅうじたいせんげん kinkyuujiraisengenn
