スパコン

1

新型コロナの研究で/富岳/が実績を上げました
「富岳」とは日本の/スーパー/コンピューターのひとつです
「富岳」が/TOP500/で世界一位の性能を記録しました
前作のスーパーコンピューターは「/京/」です
/理化学研究所/が開発に参加しています
高速計算機の進化は/人工知能/の研究に革新をもたらします
富岳は、高性能の/CPU/を約15万個そろえています
富岳はAIや/ビッグデータ/解析でも優秀な性能を示します
「富岳」は理化学研究所と/富士通/で共同開発を行いました
世界最速のスパコンは、/HPC/を動作させるCPUを変えます

富岳 ふがく fugaku
天河二号 てんがにごう tenganigou
Roadrunner Roadrunner Roadrunner

スーパー すーぱー su-pa-
量子 りょうし ryousi
オフィス おふぃす ofisu

TOP500 TOP500 TOP500
ノード のーど no-do
プロトコル ぷろとこる purotokoru

京 けい kei
垓 がい gai
兆 ちょう tyou

理化学研究所 りかがくけんきゅうじょ rikagakukenkyuujo
情報通信研究機構 じょうほうつうしんけんきゅうきこう jyouhoutuusinkenkyuukikou
科学研究所 かがくけんきゅうじょ kagakukenkyuujyo

人工知能 じんこうちのう jinkoutinou
バーチャルリアリティー ばーちゃるりありてぃー ba-tyaruriaritexi-
IoT IoT IoT

CPU CPU CPU
PCU PCU PCU
USB USB USB

ビッグデータ びっぐでーた biggude-ta
シグナル しぐなる sigunaru
アクセス あくせす akusesu

富士通 ふじつう hujituu
日立製作所 にちりつせいさくじょ nitirituseisakujo
NTT NTT NTT

HPC HPC HPC
GPU GPU GPU
ACL ACL ACL
