将棋

2

王位のタイトルを奪い藤井聡太/棋聖/が記者会見に臨みました。
将棋で藤井聡太棋聖が/二冠/を達成しました。
弱冠18歳で/八段/に昇格するのは史上最年少記録ということです。
史上最年少での八段昇段は加藤一二三九段が/樹立/した記録を62年ぶりに塗り替えました。
福岡県で第61期/王位/戦が行われました。
羽生善治九段は「十代で複数冠を保持するのは/空前絶後/の大記録だ」と語った。
将棋教室ではプロ/棋士/を目指す子供たちから快挙をたたえる声が相次ぎました。
藤井聡太棋聖は２つの/タイトル戦/を戦った振り返りとして「得難い経験が出来た」と語りました。
今後の目標については/王将/戦の名前を挙げ、3つ目のタイトル挑戦に向けた意欲を語りました。
将棋界にはタイトルがまだ/6/つあるため今後の活躍も期待されます。

棋聖 きせい kisei
王将 おうしょう ousyou
叡王 えいおう eiou

二冠 にかん nikan
二勝 にしょう nisyou
二武 にぶ nibu

八段 はちだん hatidann
八冠 はっかん hakkann
八級 はっきゅう hakkyuu

樹立 じゅりつ jyuritu
成立 せいりつ seiritu
創立 そうりつ souritu

王位 おうい oui
竜王 りゅうおう ryuuou
王座 おうざ ouza

空前絶後 くうぜんぜつご kuuzenzetugo
青天霹靂 せいてんへきれき seitenhekireki
驚天動地 きょうてんどうち kyoutendouti

棋士 きし kisi
将棋士 しょうぎし syougisi
将棋マン syougimann

タイトル戦 たいとるせん taitorusenn
対局 たいきょく taikyoku
王位戦 ouisenn

王将 おうしょう ousyou
棋王 きおう kiou
名人 めいじん meijinn

6 6 6
8 8 8
7 7 7
