環境緊急事態 かんきょうきんきゅうじたい 自然などの環境に影響を与える恐れのある緊急事態または事故の事。
環境省 かんきょうしょう 自然環境の保護及び整備等環境の保全を図ることを任務とする国の行政機関の事。
JICA じゃいか 発展途上国への協力を主な業務とする外務省所轄の独立行政法人「国際協力機構」の事。
ホットスポット ほっとすぽっと 周囲と比べてエネルギーや事象の発生が特に高い値を示す地点の事。
ラムサール条約 らむさーるじょうやく 自然保護関連の国際条約。「特に水鳥の生息地として国際的に重要な湿地に関する条約」
ブルーエコノミー ぶるーえこのみー 海を守りながら経済や社会全体をサステナブル(持続可能な形)に発展させることを前提とした海洋産業。
焼き畑 やきはた 山林・原野を伐採してから火をつけて焼き、その灰を肥料として作物を栽培する農法の事。
環境賞 かんきょうしょう 自然と環境の尊重をビジネスや仕事に統合するための模範的な取り組み等に対して与えられる賞の事。
国連気候行動サミット こくれんきこうこうどうさみっと 世界各国の政府や自治体等の代表者が集まり、地球温暖化対策のための行動について議論する国連の会議の事。
マイクロプラスチック まいくろぷらすちっく 海洋などの環境中に拡散した微小なプラスチック粒子の事。
医療崩壊 いりょうほうかい 病院の運営状態の悪化により医療機関として正常に機能しなくなっている状態を指す。
密接 みっせつ 互いに手が届く距離で会話や発声、運動などをする事。
新型コロナウイルス しんがたころなういるす 2019年に中国武漢市付近で初めて確認された新種のウイルス。
マスク ますく ここでは感染症の対策などに使う口、鼻の周囲を覆う道具を指す。
クラスター くらすたー 「集団」という意味の英単語だがここでは小規模の集団感染やそれによって発生した感染者集団を指す。
ソーシャルディスタンス そーしゃるでぃすたんす 「社会的距離」の意で、新型コロナウイルスの観点では感染防止に必要な人同士の距離を指す。
PCR検査 ぴーしーあーるけんさ 微量の検体を高感度で検出する検査方法で、ウイルスのDNAを増幅させることによって検出させる。
臨床試験 りんしょうしけん 薬剤や医療器具等の安全性、有効性などを確認するために治療を兼ねて行われるテストの事。
緊急事態宣言 きんきゅうじたいせんげん 内閣総理大臣が国民の大部分が免疫を獲得していない感染症が発生した場合に緊急の措置を講ずる政治的措置。
ウィズコロナ うぃずころな 日本経済の中で新型コロナウイルスの感染拡大に十分対策をしながら経済活動を進める期間ないしそれを表す標語。
東京都知事選挙 とうきょうとちじせんきょ 東京都知事を選出するために行われる選挙。特別な理由がない限り東京都知事の任期である4年周期で行う。
投票率 とうひょうりつ 選挙においてその地域の投票参加の割合を表す物。
現職 げんしょく その時点で職務、役職に就いている事。
選挙活動 せんきょかつどう 選挙期間中、選挙への当選を目指して有権者に働きかける事。
政見放送 せいけんほうそう 選挙期間中に候補者がラジオ、テレビ放送で行う公約発表の事。
選挙管理委員会 せんきょかんりいいんかい 選挙に関係する事務を管理する合議制の行政機関。
公職選挙法 こうしょくせんきょほう 日本の公職選挙に関する基本法で、衆参両議院の議員選挙および地方公共団体の長や議員の選挙に適用される。
零票確認 ぜろひょうかくにん 投票開始前の投票箱が空である事を確認する事。基本的に役員以外で投票所に一番乗りした人が行う。
候補者 こうほしゃ 選挙に出馬する人の事。
選挙ポスター せんきょぽすたー 選挙において準備期間の中で名前や顔写真と共に公約を記載して当選するためのポスターの事。
氾濫 はんらん 川などの水位が増大し、勢いよく溢れ出て広がること。
浸水 しんすい 住居や店、舶が水に浸る事。
ゲリラ豪雨 げりらごうう 突発的で天気予報による正確な観測が困難かつ局地的な豪雨。なおこれはマスメディアによる造語である。
温帯低気圧 おんたいていきあつ 主に温帯で発生する暖気と寒気が移動する際に解放される位置エネルギーによって発達する低気圧の事。
梅雨前線 ばいうぜんせん 5～7月にかけて日本列島を南から北上する停滞前線。
避難情報 ひなんじょうほう 集中豪雨や台風などによって災害の発生が差し迫った時に市町村が避難を促すために発する情報。
